"Sheet Type","Opus ID","Client Name",Status,"Billing Modality KPI","Service Type Billing","License Billing","BTRC Letter","Security Coverage","Payment Plan","Other Upstream","S&M KAM","Team Name","Collection KAM","Collection Supervisor","NTTN Billing KAM","IIG/ITC Billing KAM","NTTN Billing Commencement Date","IIG/ITC Billing Commencement Date","Agreement Status","BTRC License Discontinuation Date",Legal,"Service Discontinuation Date"
Live,012003348,"3 Link Networks",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Shamrat Shahriar","Team Ryhan",Ehsanul,"CS Mithun",Ejaz,Monira,,2025-04-29,Done,2023-01-20,No,
Live,012211697,"A One Network",Active,Pre-paid,"NTTN, IIG",District,,1,,No,"Md. Mahin Alam","Team Abid",Ehsanul,"CS Mithun",Ejaz,Monira,,2025-08-06,Done,2027-04-24,No,
Live,012208289,"A1 Online",Active,Pre-paid,NTTN,District,,1,,No,"Umaya Afrin Priya","Team Mitul",Anik,"CS Tarikul",Waly,Mahbub,2022-06-01,2022-06-01,Done,2027-04-24,No,
Live,012418240,"A2Z Media Broadband Net",Active,Pre-paid,IIG,"Category - A",,1,,Yes,"Md. Mahin Alam","Team Abid",Khairul,"CS Tarikul",Ejaz,Monira,,2024-09-01,Done,2024-01-08,No,
Live,012107026,"A2Z Network",Active,Pre-paid,IIG,Upazila/Thana,,1,,Yes,"Toukir Azam Chowdhury","Team Sujon",Hasnat,"CS Azim",N/A,Mahbub,,2026-03-02,,,No,
Live,012203177,"Net Park Communication",Active,Pre-paid,IIG/NTTN,Upazila/Thana,,1,,Yes,"Md. Mostafizur Rahman","Team Fahad",Khairul,"CS Tarikul",N/A,Mahbub,,,,,No,
Live,012004583,"Aalok IT Limited",Active,Pre-paid,NTTN,Nationwide,,1,,Yes,"Tabassom Tamanna Haque","Team Abid",Shareef,"CS Tarikul",Nayeemur,N/A,,,,,No,
Live,012203056,"Aamra Networks Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,0.98590512403214736,,Yes,"Mosabbir Hussain","Team Mosabbir",Shehave,"CS Shehave",Jubayar,Aftab,2010-12-15,2026-04-01,Done,2025-06-29,No,
Live,012418283,"Abul Kalam online",Active,Pre-paid,"NTTN, IIG",Upazila/Thana,,0.84756206022263003,,No,"Tabassom Tamanna Haque","Team Abid",Ehsanul,"CS Mithun",Nayeemur,Aftab,2025-01-01,2025-01-01,Done,2026-12-26,No,
Live,012103110,"Access Telecom (BD) Ltd.",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Jahirul Islam","Team Jahirul",Ehsanul,"CS Mithun",Tanim,Aftab,2010-12-15,2024-04-01,Done,2025-04-30,No,
Live,012204631,"Achiever Broadband Internet",Active,Pre-paid,"NTTN, IIG, NIX","Category - C",,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Anik,"CS Tarikul",Waly,Monira,2021-03-01,2021-03-01,Done,2028-02-13,No,
Live,012004481,"Adel Online",Active,Pre-paid,NTTN,Divisional,,1,,No,"Md.Noor Hossain","Team Israfil",Hasnat,"CS Azim",Nayeemur,N/A,,,Done,2024-03-31,No,
Live,012206974,"Adel Online Technology",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Nubuiya Mahfuz Naimee","Team Fahad",Shareef,"CS Tarikul",Nayeemur,Aftab,2024-11-21,2024-11-21,Done,2022-02-04,No,
Live,012618386,"Hello Multimedia",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,#DIV/0!,,Yes,"Md.Mominul Islam","Team Fahad",Khairul,"CS Tarikul",,Tawhid,2024-11-21,2024-11-21,Done,2022-02-04,No,
Live,012304683,"Adina Net",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,"Md. Sohel Rana","Team Jahirul",Asif,"CS Shehave",Waly,Mahbub,2023-02-21,2023-02-21,Done,2024-08-03,No,
Live,112203283,"ADN International Gateway Limited",Active,Post-paid,"NTTN, ITC",IIG,,1,,Yes,"Kawsar Ahammed Siddiki","Team Israfil",Mithun,"CS Mithun",Tanim,Jubayar,2019-09-01,2019-09-01,Done,2027-04-12,No,
Live,012203053,"ADN Telecom Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Kawsar Ahammed Siddiki","Team Israfil",Mithun,"CS Mithun",Tanim,Aftab,2011-10-01,2024-01-25,Done,2025-07-05,No,
Live,012004614,"Advance Telecom",Active,Pre-paid,NTTN,Divisional,,1,,Yes,"Md. Sohel Rana","Team Jahirul",Mehedi,"CS Azim",Ejaz,Tawhid,,2026-04-26,WIP,2026-12-17,No,
Live,011903236,"Aftab IT Limited",Active,Post-paid,"NTTN, IIG",Nationwide,,1,,Yes,"Sadia Nowshin Farin","Team Talha",Khairul,"CS Tarikul",Tanim,Aftab,2012-12-01,2022-10-01,Done,2024-03-31,No,
Live,012203068,"Agni Systems Limited",Active,Post-paid,NTTN,Nationwide,1st,1,,Yes,"Kawsar Ahammed Siddiki","Team Israfil",Asif,"CS Shehave",Jubayar,Aftab,,2025-01-18,Done,2023-03-03,No,
Live,012204656,"Ahon Communication",Active,Pre-paid,"NTTN, IIG","Category - C",,1,,No,"SK Sanaullah","Team Ryhan",Hasan,"CS Shehave",Waly,Mahbub,2022-05-12,2021-03-24,Done,2027-03-27,No,
Live,012209437,"Aichgati Online",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Fahim Ahmed","Team Ryhan",Khairul,"CS Tarikul",Waly,Tawhid,2024-04-23,2022-07-01,Done,2027-04-09,No,
Live,012312883,"Ajwah Network",Active,Post-paid,"NTTN, IIG","Thana - ISP",,1,,Yes,"Md.Noor Hossain","Team Israfil",Asif,"CS Shehave",Waly,Mahbub,2023-08-02,2023-07-13,Done,2026-10-26,No,
Live,012212836,"AK Commercial Industries",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Fahim Ahmed","Team Ryhan",Khairul,"CS Tarikul",Nayeemur,Monira,,2023-08-02,Done,2027-04-03,No,
Live,012209307,"AK Networks",Active,Post-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Abid Hasan","Team Abid",Hasan,"CS Shehave",Waly,Monira,2022-05-25,2022-08-26,Done,2027-04-27,No,
Live,012418196,Alamin.Net,Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"Md. Fahim Ahmed","Team Ryhan",Azim,"CS Azim",Nayeemur,Monira,2024-03-18,2024-03-18,Done,2028-01-31,No,
Live,012318165,"Alfaz Network",Active,Pre-paid,IIG,District,,1,,Yes,"Abul Khayer Md. Fahad","Team Fahad",Naznin,"CS Shehave",N/A,Mahbub,,2024-06-12,Done,2027-06-26,No,
Live,012104600,"Al-mamun Online",Active,Pre-paid,"NTTN, IIG",Divisional,,1,,No,"Md. Sohel Rana","Team Jahirul",Khairul,"CS Tarikul",Waly,Mahbub,2020-07-14,2020-07-13,Expired,2023-10-06,No,
Live,012312985,"Al-Mugni Information & Technology",Active,Pre-paid,"NTTN, IIG","Thana - ISP",,1,,No,"K.M. Mazharul Islam","Team Mosabbir",Naznin,"CS Shehave",Waly,Tawhid,2023-05-28,2023-05-25,Done,2026-11-02,No,
